country_code,language,official,percentage,speakers
MYT,French,T,20.3,3024700.0
MYT,Mahore,F,41.9,6243100.0
MYT,Malagasy,F,16.1,2398900.0
NAM,Afrikaans,F,9.5,16397000.0
NAM,Caprivi,F,4.7,8112200.0
NAM,German,F,0.9,1553400.0
NAM,Herero,F,8.0,13808000.0
NAM,Kavango,F,9.7,16742199.999999998
NAM,Nama,F,12.4,21402400.0
NAM,Ovambo,F,50.7,87508200.0
NAM,San,F,1.9,3279400.0
NCL,French,T,34.3,7340199.999999999
NCL,Malenasian Languages,F,45.4,9715600.0
NCL,Polynesian Languages,F,11.6,2482400.0
NER,Ful,F,9.7,104081000.0
NER,Hausa,F,53.1,569763000.0
NER,Kanuri,F,4.4,47212000.00000001
NER,Songhai-zerma,F,21.2,227476000.0
NER,Tamashek,F,10.4,111592000.0
NFK,English,T,0.0,0.0
NGA,Bura,F,1.6,178409600.0
NGA,Edo,F,3.3,367969800.0
NGA,Ful,F,11.3,1260017800.0
NGA,Hausa,F,21.1,2352776600.0
NGA,Ibibio,F,5.6,624433600.0
NGA,Ibo,F,18.1,2018258600.0
NGA,Ijo,F,1.8,200710800.0
NGA,Joruba,F,21.4,2386228400.0
NGA,Kanuri,F,4.1,457174600.0
NGA,Tiv,F,2.3,256463800.0
NIC,Creole English,F,0.5,2537000.0
NIC,Miskito,F,1.6,8118400.0
NIC,Spanish,T,97.6,495222400.0
NIC,Sumo,F,0.2,1014800.0
NIU,English,T,0.0,
NIU,Niue,F,0.0,
NLD,Arabic,F,0.9,14277600.0
NLD,Dutch,T,95.6,1516598400.0
NLD,Fries,F,3.7,58696800.0
NLD,Turkish,F,0.8,12691200.0
NOR,Danish,F,0.4,1791400.0
NOR,English,F,0.5,2239250.0
NOR,Norwegian,T,96.6,432623100.0
NOR,Saame,F,0.0,0.0
NOR,Swedish,F,0.3,1343550.0
NPL,Bhojpuri,F,7.5,179475000.0
NPL,Hindi,F,3.0,71790000.0
NPL,Maithili,F,11.9,284767000.0
NPL,Nepali,T,50.4,1206072000.0
NPL,Newari,F,3.7,88541000.0
NPL,Tamang,F,4.9,117257000.0
NPL,Tharu,F,5.4,129222000.0
NRU,Chinese,F,8.5,
NRU,English,T,7.5,
NRU,Kiribati,F,17.9,
NRU,Nauru,T,57.5,
NRU,Tuvalu,F,8.5,
